scenario,model,rep,c_index,brier,auc,source_report,source_generated_on,source_sha256
four_features,Survival RF,3,0.5271,0.44621,0.5337,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Survival SVM,3,0.5429,0.41694,0.5709,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Weibull AFT,3,0.5523,0.4139,0.5789,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,KFRE,3,0.539,0.55231,0.5528,generated_data/rep3/four_features_clinical_validity_report.txt,2026-09-17 03:11:25,18440650808665ad4143f1f590237ba0bc77fc929164b88c0f58b18960346df6
four_features,Cox,4,0.3083,0.53149,0.2716,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Dynamic DeepHit,4,0.8276,0.2843,0.9461,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Hazard Transformer,4,0.6379,0.40303,0.7002,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Logistic Hazard,4,0.56,0.40907,0.5743,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,RNN-Surv,4,0.5169,0.42452,0.5184,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,DeepSurv,4,0.5532,0.42327,0.5601,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,GBSA,4,0.5195,0.43307,0.5357,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Survival RF,4,0.539,0.44188,0.5504,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Survival SVM,4,0.5429,0.41694,0.5709,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Weibull AFT,4,0.5523,0.4139,0.5789,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,KFRE,4,0.539,0.55231,0.5528,generated_data/rep4/four_features_clinical_validity_report.txt,2026-09-17 13:02:23,a94c3fd755e642c4495a938ceb1cdbd3452a1e2060b49c4b7c6365d786ad727c
four_features,Cox,5,0.3083,0.53149,0.2716,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Dynamic DeepHit,5,0.8395,0.27014,0.9489,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Hazard Transformer,5,0.6357,0.40909,0.7034,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Logistic Hazard,5,0.55,0.41544,0.5647,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,RNN-Surv,5,0.5243,0.4206,0.5307,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,DeepSurv,5,0.551,0.42195,0.5614,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,GBSA,5,0.5134,0.45022,0.5171,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Survival RF,5,0.5355,0.44342,0.5475,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Survival SVM,5,0.5429,0.41694,0.5709,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,Weibull AFT,5,0.5523,0.4139,0.5789,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
four_features,KFRE,5,0.539,0.55231,0.5528,generated_data/rep5/four_features_clinical_validity_report.txt,2026-09-15 08:50:06,f607aef603c00aa04a7e26ac1228951368aabe11e550c50b117722df40474b46
eight_features,Cox,1,0.4703,0.57763,0.4253,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Dynamic DeepHit,1,0.866,0.30792,0.9381,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Hazard Transformer,1,0.5757,0.4419,0.6076,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Logistic Hazard,1,0.5204,0.50036,0.4932,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,RNN-Surv,1,0.5273,0.49944,0.574,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,DeepSurv,1,0.4942,0.49539,0.5096,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,GBSA,1,0.539,0.51474,0.5665,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Survival RF,1,0.5327,0.53602,0.5427,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Survival SVM,1,0.5396,0.48775,0.5949,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Weibull AFT,1,0.5543,0.4846,0.5967,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,KFRE,1,0.5391,0.73697,0.5791,generated_data/rep1/eight_features_clinical_validity_report.txt,2026-09-17 03:06:03,41dc11e3af5df526f018670a4cbd1cbca9b615d8646d6525b8d19af969aae761
eight_features,Cox,2,0.4703,0.57763,0.4253,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Dynamic DeepHit,2,0.881,0.27154,0.952,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Hazard Transformer,2,0.6073,0.4288,0.6365,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Logistic Hazard,2,0.5298,0.50573,0.4827,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,RNN-Surv,2,0.5352,0.49117,0.5967,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,DeepSurv,2,0.4642,0.52725,0.4553,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,GBSA,2,0.5487,0.53879,0.5648,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Survival RF,2,0.513,0.51919,0.5321,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Survival SVM,2,0.5396,0.48775,0.5949,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Weibull AFT,2,0.5543,0.4846,0.5967,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,KFRE,2,0.5391,0.73697,0.5791,generated_data/rep2/eight_features_clinical_validity_report.txt,2026-09-17 03:08:37,9786a4bce2e926c869567ff8e67d80a9ca960898ee9e02211556e76b25ee9ebb
eight_features,Cox,3,0.4703,0.57763,0.4253,generated_data/rep3/eight_features_clinical_validity_report.txt,2026-09-17 03:11:42,0355017c44287d03bbd0e7280ff54740bcf6e19c9847fd0520c12279e37d10ef
